channel,df_at_a_1,df_at_a_star
strain,21.981328264444905,20.418859205651756
Pauli,21.981328264444905,22.928552581822167
elst,21.981328264444905,22.966294739190445
oi,21.981328264444905,22.787457257225068
disp,21.981328264444905,22.999989759472953
barrier,21.981328264444905,23.00000234973251
