arm,channel,NMAE,NMAE_lo,NMAE_hi,RMSE,RMSE_lo,RMSE_hi,R2,R2_lo,R2_hi,slope,slope_lo,slope_hi
A,strain,0.7803781736051072,0.7198593490281399,0.8481787390206511,26.13941106362173,21.2477383847075,32.07872375233458,0.22804227545764433,0.12931580479090266,0.34956268763931997,0.31481304884010763,0.21625051826880423,0.44013542620476065
A,Pauli,0.6382518593857817,0.5997753768705403,0.6808341983978452,89.1243697661435,83.3028045678629,95.54156248075094,0.4997095085780404,0.4200393024117302,0.559122369955006,0.512725261441557,0.46108743722367357,0.5543422247079794
A,V_elst,0.6684001158183699,0.6305009929874207,0.7095218074223377,36.54736850107582,34.442957756995995,38.80798780126951,0.5090187018403465,0.44528810595775975,0.5650218576075805,0.508725509397521,0.463571182624598,0.5462910702301287
A,oi,0.6808042122201117,0.6319077487778317,0.7336230301276438,77.51339453651813,70.91749463975265,84.18452006917863,0.3850170123891731,0.3039627020859919,0.4506973024819896,0.4253612032085273,0.3722999108352629,0.47576146347737924
A,disp,0.2429486270529564,0.2256649920424484,0.26193751252283315,1.9117420262932858,1.7085691048013725,2.1117260711743575,0.9205544901587908,0.9036597499481615,0.9356523837544712,0.9158770874267046,0.8883708605603771,0.9451926925266924
A,barrier,0.6438309210787483,0.6047292432902593,0.6833432443643831,28.442171874546396,26.507961488435775,30.32834424293104,0.5566855230352985,0.4929093202738945,0.6115013480319101,0.7536761026897262,0.7038415402935592,0.8066198357528135
B,strain,0.7637042129532282,0.7049641862354129,0.8286972123459299,24.960223680734806,21.150322139254822,29.80612534547394,0.29611960946872007,0.2255850943259123,0.3736854566158736,0.37245955593984104,0.29394085564507566,0.4638593478920571
B,Pauli,0.7406385284176458,0.6904786173057224,0.7942338905743045,105.50282810836183,98.45470438151348,112.94315448702281,0.2989362556311065,0.2228472312326719,0.36496756372562505,0.4024455500820252,0.3582892741077998,0.4517468646787256
B,V_elst,0.7500964537700736,0.7014832116471509,0.7974946428615444,43.09908716571005,40.25696249551041,45.62720727448364,0.3172072997802451,0.2344357002223519,0.39129361687924263,0.4746389820609347,0.42582398554946116,0.5296425436988106
B,oi,0.7664141649930031,0.7110824113916677,0.8277697608994958,85.03932860434304,78.3150461720877,92.16185663564238,0.2597997375014717,0.19497993157449273,0.3219465658126778,0.3460371228199887,0.3021997428405694,0.39381198791782107
B,disp,0.2867912483598369,0.26966512053645864,0.3036458283035451,1.998013671340732,1.8513549013887491,2.1519949878836746,0.9132223884270353,0.8981476736196407,0.9257214316995077,0.9165245674894854,0.8933766888383853,0.9399353709361151
B,barrier,0.5709374004459054,0.5336325789768932,0.6067173806438908,24.998310019774646,23.385512839034583,26.657611460026963,0.6575416969411503,0.6167937509329227,0.6934281012812955,0.6859017191633736,0.6509247408489078,0.7216568548296067
C,strain,0.7807101894776168,0.7205221892727788,0.8476180715420252,26.54951757524079,21.302178391099254,32.87191256893234,0.2036294552175737,0.09429168429369679,0.347324434842091,0.39933302032776075,0.274897328124436,0.5548824969505063
C,Pauli,0.5985654079700703,0.554651741779953,0.6414085249050259,87.70330985738185,81.10856165908945,94.69054017463847,0.5155362657968459,0.43017656485084904,0.5810776559106154,0.6345128952988793,0.5806204259888034,0.6873592416575639
C,V_elst,0.6410027967399712,0.5996317114577733,0.6798047862579156,36.34022433035835,33.9753801499167,38.543904664370956,0.5145685237781673,0.44169866888896053,0.5845198714821837,0.7004117771756814,0.6508422259074653,0.7456401717680907
C,oi,0.6813604105055511,0.6299294542004714,0.7367053673843162,78.59047078753267,71.92568124088426,85.80337625850463,0.3678074551855177,0.2795007376127856,0.4414949151221177,0.5152795678469696,0.4537681893290591,0.5751136610549967
C,disp,0.24326770110260781,0.22579962191257094,0.2618668009335466,1.9195622192429243,1.7173206973365993,2.117601006372035,0.9199031994373715,0.902879655393537,0.9350187355610874,0.919529476672179,0.8907664103435123,0.9499098758899771
C,barrier,0.6765482757720702,0.6380494266928056,0.7179807669037861,29.209045062661232,27.43152509885054,31.076728848685462,0.5324574745580685,0.4706194263776896,0.589032901885464,0.7568934790212158,0.7054919690000613,0.8122286426142747
