channel,delta_NMAE_B_minus_C,ci_low,ci_high,wilcoxon_stat,wilcoxon_p
strain,-0.017005976524388695,-0.05761161888884915,0.0230867258118656,150077.0,0.43668303350059035
Pauli,0.14207312044757545,0.09120310491192768,0.18908935347056519,120314.0,5.232141229126225e-08
V_elst,0.10909365703010236,0.05915509019348914,0.16369069550826795,133956.0,0.0009503879442791253
oi,0.08505375448745202,0.039424281731886,0.13306803366953351,132421.0,0.000391971243894307
disp,0.04352354725722908,0.027904466948009684,0.057734271403832235,109827.0,1.3695102276167217e-12
barrier,-0.10561087532616491,-0.14562978424477846,-0.06748876797133208,124526.0,1.7270385230780145e-06
