channel,excluded_from_learning,n,mean_abs,median_abs,median_abs_ci_lo,median_abs_ci_hi,std_signed,iqr_signed,p10_signed,p25_signed,p75_signed,p90_signed,max_abs,frac_lt_0.5,frac_lt_1.0,frac_lt_2.0,baseline_MAE
d1,False,2207,6.620919520520851,3.847633821853364,3.547553716878936,4.224874779187047,9.248701005439289,8.019571993451507,-13.1296394349082,-4.923914019011102,3.095657974440405,12.300725738281074,38.79113173210948,0.09379247847757137,0.18486633439057545,0.3343905754417762,6.620919520520851
d2,False,2207,6.8011072655301135,3.988327795118531,3.7767073986294193,4.209141441463486,9.915602492577495,7.966123467677721,-11.915911963612132,-3.8715179258809282,4.094605541796793,13.268048184168565,36.84834209925624,0.09651110104213866,0.19166289080199367,0.3352967829632986,6.8011072655301135
elst,False,2207,6.510080763141773,4.947559605414064,4.604748481442655,5.144192882153536,8.808500242986629,9.743689377558596,-11.479722525279739,-5.716998984067917,4.026690393490679,9.482653204915637,40.27795450224694,0.06071590394200272,0.11780697779791573,0.2369732668781151,6.510080763141773
pauli,False,2207,12.298633850365619,8.829904998601194,8.367970299866244,9.424282976448893,17.072697631504766,17.560011047324693,-18.541751357697663,-7.3858698429808385,10.174141204343854,21.27452499678773,92.44449937126143,0.02945174444947893,0.0729497054825555,0.14771182600815586,12.298633850365619
oi,False,2207,7.557888473832636,5.2584610568670485,4.973466459552668,5.490655438260092,10.700980928951042,9.949850493029494,-12.066015194156428,-5.838264311417348,4.111586181612147,11.674423968608876,45.685679668935684,0.05573176257362936,0.11327594019030358,0.2306298142274581,7.557888473832636
disp,False,2207,2.4631344109128723,1.8893330721750914,1.8350237336191864,1.9915701787387192,3.210924230668206,3.7820769720964553,-4.290226225023191,-2.0842401189834074,1.6978368531130479,3.808073811093629,11.808350981322922,0.1495242410512007,0.2913457181694608,0.5224286361576801,2.4631344109128723
cpcm,False,2207,5.135782501271605,3.7715961206078124,3.627773459190446,3.9795300758448366,6.950193083643668,7.318249233802961,-7.8165198058825505,-2.933758962292453,4.384490271510508,8.808697625664786,35.46984438197455,0.06796556411418214,0.13864975079293157,0.29859537834164024,5.135782501271605
cds,True,2207,0.3755260103917608,0.26234062678745373,0.248525968065386,0.2798580557635044,0.5301389836311811,0.5013863762466311,-0.5301984549229544,-0.1819359867228001,0.319450389523831,0.6119815638745663,2.687119375557427,0.7467149977344812,0.932487539646579,0.9927503398278206,0.3755260103917608
G_act,False,2207,4.507159793505293,3.33940107903128,3.176682202099496,3.4723341450661565,6.045579716104092,6.657537711359466,-8.003707806654617,-3.394033879814165,3.263503831545301,6.743168267167465,26.660195235301487,0.07566832804712278,0.16039873130946986,0.31853194381513367,4.507159793505293
