channel,n,mean_abs,median_abs,median_abs_ci_lo,median_abs_ci_hi,std_signed,iqr_signed,p10_signed,p25_signed,p75_signed,p90_signed,max_abs,frac_lt_0.5,frac_lt_1.0,frac_lt_2.0,baseline_MAE
d1,4230,7.317562941930346,4.941316741446495,4.663517091714993,5.176811079071028,10.071487361772576,9.94210367391103,-13.631286209274897,-5.847177709714467,4.0949259641965625,12.521227142741626,38.79113173210948,0.075177304964539,0.1541371158392435,0.2777777777777778,7.317562941930346
d2,4230,7.467202720610661,4.6973574221243,4.463999895734008,4.940790616867299,10.59651238752371,9.585612510141631,-12.831712711856825,-4.129775585408032,5.4558369247336,13.841781340202214,51.91851994657553,0.08132387706855793,0.16099290780141845,0.27919621749408985,7.467202720610661
elst,4230,8.16947781237438,6.129400218452499,5.952539560515786,6.35361820141884,10.935431329153406,11.795620006362178,-14.236567095214824,-7.522723070424519,4.272896935937659,11.36430739973095,56.98838263754531,0.050591016548463354,0.09952718676122932,0.19101654846335697,8.16947781237438
pauli,4230,16.009333071638427,11.882115159255662,11.474416380468176,12.275830385146136,21.603668734826343,23.829287504424475,-23.145525222800693,-8.644013050964261,15.185274453460213,27.619237464523856,96.44420961840916,0.023167848699763592,0.05390070921985816,0.11205673758865248,16.009333071638427
oi,4230,9.159281955896436,6.426328634067261,6.211928739633259,6.773388436434711,12.457176581286188,12.70953027940784,-15.399537764182096,-8.021123301649194,4.688406977758646,13.828138811563367,58.91583314521289,0.04042553191489362,0.08557919621749409,0.17777777777777778,9.159281955896436
disp,4230,2.8788873443618574,2.251032325442221,2.170318825214437,2.3240005013320295,3.754173060376241,4.473711027492325,-4.401219881167151,-1.9717242660449976,2.501986761447327,4.936583517173398,14.609947223988417,0.1288416075650118,0.250354609929078,0.4548463356973995,2.8788873443618574
cpcm,4230,5.0382238081248945,3.708220801274809,3.592750218007483,3.817101131012024,6.901887709219435,7.432887213968494,-8.19785919579912,-3.5160284545777105,3.9168587593907835,7.772618239061938,35.46984438197455,0.0690307328605201,0.14491725768321512,0.3016548463356974,5.0382238081248945
cds,4230,0.5122345444112978,0.3487951798179705,0.33803420104062265,0.36013889997472764,0.6918093580355844,0.649509893472805,-0.550381067237625,-0.1391803463282475,0.5103295471445575,1.0499584089716691,3.4917289032059866,0.633096926713948,0.8484633569739952,0.9829787234042553,0.5122345444112978
