,delta_d1,delta_d2,delta_elst,delta_pauli,delta_oi,delta_disp,delta_cpcm,delta_cds
delta_d1,1.0,-0.44466649420684695,-0.16753517348209496,0.18166507164063897,-0.28168359170331275,-0.10743757482819635,0.033082915260934355,-0.08609724923664143
delta_d2,-0.44466649420684695,1.0,-0.15092015552585056,0.16563576347353773,-0.25885839357862256,-0.47219256290010103,0.07557293117990907,-0.03603884053121426
delta_elst,-0.16753517348209496,-0.15092015552585056,1.0,-0.9108174632551741,0.7644875582583037,0.13723166169093648,-0.25152732082853185,-0.17088969065225626
delta_pauli,0.18166507164063897,0.16563576347353773,-0.9108174632551741,1.0,-0.8136446626043918,-0.18412585654120825,0.03454140807718964,0.14616414087600527
delta_oi,-0.28168359170331275,-0.25885839357862256,0.7644875582583037,-0.8136446626043918,1.0,0.2748473392192794,-0.36223393455105896,0.002562952934997996
delta_disp,-0.10743757482819635,-0.47219256290010103,0.13723166169093648,-0.18412585654120825,0.2748473392192794,1.0,-0.24011572055413685,0.4226574300444894
delta_cpcm,0.033082915260934355,0.07557293117990907,-0.25152732082853185,0.03454140807718964,-0.36223393455105896,-0.24011572055413685,1.0,-0.16045385319930333
delta_cds,-0.08609724923664143,-0.03603884053121426,-0.17088969065225626,0.14616414087600527,0.002562952934997996,0.4226574300444894,-0.16045385319930333,1.0
