,delta_d1,delta_d2,delta_elst,delta_pauli,delta_oi,delta_disp,delta_cpcm,delta_cds
delta_d1,1.0,-0.274309498677413,-0.18649797255650932,0.21378553084159807,-0.2931942792277245,-0.1182219148947317,-0.0024742538023282954,-0.04066950652974925
delta_d2,-0.274309498677413,1.0,-0.21879466791480393,0.2516599603670901,-0.32844091528688946,-0.44225800555013367,0.08367911989178035,0.013930807565429543
delta_elst,-0.18649797255650932,-0.21879466791480393,1.0,-0.8895016456036465,0.7218400994539036,0.15986177363013584,-0.21820998043955375,-0.14610678740125663
delta_pauli,0.21378553084159807,0.2516599603670901,-0.8895016456036465,1.0,-0.7892838460516756,-0.21997534922547526,0.015983742568348006,0.1101153123635305
delta_oi,-0.2931942792277245,-0.32844091528688946,0.7218400994539036,-0.7892838460516756,1.0,0.2727737378531454,-0.30450082918041893,-0.008121593779889032
delta_disp,-0.1182219148947317,-0.44225800555013367,0.15986177363013584,-0.21997534922547526,0.2727737378531454,1.0,-0.20447630192413732,0.36310171994848206
delta_cpcm,-0.0024742538023282954,0.08367911989178035,-0.21820998043955375,0.015983742568348006,-0.30450082918041893,-0.20447630192413732,1.0,-0.14883263316431006
delta_cds,-0.04066950652974925,0.013930807565429543,-0.14610678740125663,0.1101153123635305,-0.008121593779889032,0.36310171994848206,-0.14883263316431006,1.0
