,d1,d2,elst,pauli,oi,disp,cpcm,cds
d1,1.0,-0.6372790239662919,-0.04176660182968237,0.05657786592857485,-0.18141520011238388,0.013203045873307446,0.0624526265977763,-0.17593334313437117
d2,-0.6372790239662919,1.0,-0.1685138233263099,0.1849641456447386,-0.2748972500378796,-0.5152184788656647,0.09588761675287433,-0.09809006085157733
elst,-0.04176660182968237,-0.1685138233263099,1.0,-0.8647896636130932,0.671877976175164,0.2741659583452859,-0.3674482345387435,0.008442605347824955
pauli,0.05657786592857485,0.1849641456447386,-0.8647896636130932,1.0,-0.7484126932928512,-0.2920843586014239,0.09322301168934408,0.048886795819533146
oi,-0.18141520011238388,-0.2748972500378796,0.671877976175164,-0.7484126932928512,1.0,0.4345074889287179,-0.47179505017165224,0.23022128159249708
disp,0.013203045873307446,-0.5152184788656647,0.2741659583452859,-0.2920843586014239,0.4345074889287179,1.0,-0.32250901345141597,0.3790970676085878
cpcm,0.0624526265977763,0.09588761675287433,-0.3674482345387435,0.09322301168934408,-0.47179505017165224,-0.32250901345141597,1.0,-0.30850406792309365
cds,-0.17593334313437117,-0.09809006085157733,0.008442605347824955,0.048886795819533146,0.23022128159249708,0.3790970676085878,-0.30850406792309365,1.0
