arm,channel,metric,point,ci_low,ci_high
xgb_33d,strain,NMAE,0.21876666732482125,0.19950269920432223,0.23821521050755762
xgb_33d,strain,RMSE,8.014870486325187,7.1167539407541796,9.07452294820844
xgb_33d,strain,R2,0.9204461988291444,0.9015966404283773,0.9355295705585264
xgb_33d,strain,slope,0.8996835243787584,,
xgb_33d,Pauli,NMAE,0.19681807451494504,0.17739870351647072,0.21858452625971228
xgb_33d,Pauli,RMSE,28.758285091037603,25.542474067273652,32.12208587664007
xgb_33d,Pauli,R2,0.9355318236876644,0.922835567717011,0.9473222352924227
xgb_33d,Pauli,slope,0.9156262256183536,,
xgb_33d,elst,NMAE,0.25131624293928306,0.22891004424269526,0.27648894388868567
xgb_33d,elst,RMSE,15.29249471892827,13.693660147856356,16.96882536382235
xgb_33d,elst,R2,0.9071819539120003,0.8885944711024159,0.9229162165101392
xgb_33d,elst,slope,0.8816615144658976,,
xgb_33d,oi,NMAE,0.1411854181653729,0.12645965045311064,0.15797771924883844
xgb_33d,oi,RMSE,14.479155290209984,12.796075649868087,16.222836794193583
xgb_33d,oi,R2,0.9614542387801314,0.9528408605614268,0.9684934364513398
xgb_33d,oi,slope,0.9532863120115543,,
xgb_33d,disp,NMAE,0.1297528269131433,0.11689124455728268,0.14458152949460562
xgb_33d,disp,RMSE,1.388953947133962,1.1805658827678127,1.6359025807981342
xgb_33d,disp,R2,0.9650969431635922,0.9538579395104465,0.9734947067413614
xgb_33d,disp,slope,0.9658829965549025,,
xgb_33d,barrier,NMAE,0.290976232195282,0.27069374414631925,0.3120820439985363
xgb_33d,barrier,RMSE,11.655233254334078,10.810154757262449,12.49517409368711
xgb_33d,barrier,R2,0.8880854700170158,0.8697777931425017,0.9045188002137348
xgb_33d,barrier,slope,0.9144302285696745,,
xgb33_delta,strain,NMAE,0.21883691834842622,0.19962144953617467,0.2382436062208033
xgb33_delta,strain,RMSE,8.01295217344947,7.117752802104145,9.069042689457637
xgb33_delta,strain,R2,0.9204842757558541,0.9017581649494762,0.9355141770763993
xgb33_delta,strain,slope,0.8997410249267266,,
xgb33_delta,Pauli,NMAE,0.19677286116143825,0.17733401855103573,0.2184842012641195
xgb33_delta,Pauli,RMSE,28.759992240288643,25.537147732170222,32.121117418789765
xgb33_delta,Pauli,R2,0.9355241695410312,0.9228061385047321,0.9473083715583692
xgb33_delta,Pauli,slope,0.9156147158129908,,
xgb33_delta,elst,NMAE,0.251256123365909,0.228712201424919,0.2764103321843234
xgb33_delta,elst,RMSE,15.2918227218151,13.689494974472606,16.97822532764831
xgb33_delta,elst,R2,0.907190111127645,0.8885194466675467,0.9229024045035802
xgb33_delta,elst,slope,0.88167100348901,,
xgb33_delta,oi,NMAE,0.1411556744013934,0.12639218669989424,0.15803497135525627
xgb33_delta,oi,RMSE,14.47961538850858,12.794606852021266,16.22188766301138
xgb33_delta,oi,R2,0.9614517890348836,0.9528520929839789,0.9684880982013127
xgb33_delta,oi,slope,0.9532870779086551,,
xgb33_delta,disp,NMAE,0.1297842838361086,0.1169706549484565,0.14473952423003328
xgb33_delta,disp,RMSE,1.3881615569649848,1.179375214943056,1.6353625014742719
xgb33_delta,disp,R2,0.9651367557867945,0.95390853160068,0.9735061231723551
xgb33_delta,disp,slope,0.9658996899679955,,
xgb33_delta,barrier,NMAE,0.29105344776867315,0.27069190373274393,0.3122640438893
xgb33_delta,barrier,RMSE,11.661117498537932,10.825125669339686,12.50220313675136
xgb33_delta,barrier,R2,0.8879724394765076,0.8696547622034989,0.90440089269351
xgb33_delta,barrier,slope,0.9144425176365709,,
