model,fold,member,channel,MAE,RMSE,NMAE,R2
m1,0,0,strain,13.41188877384374,19.2589498752074,0.5980687134475263,0.49036959999560514
m1,0,0,Pauli,51.565767768082345,83.15501237259812,0.7062819659745073,0.3577972494258338
m1,0,0,Velst,21.415436395414314,32.01226004019165,0.6235377961216078,0.5264631263411322
m1,0,0,oi,35.19932993885818,55.98048807857743,0.697457667283361,0.3192610007124629
m1,0,0,disp,1.1526987362819112,1.7105095774510801,0.189673050567644,0.9497760195028285
m1,0,0,barrier,16.516585105353858,22.385186031053035,0.5762752665982228,0.6083756533989988
m1,0,1,strain,11.767107539685668,17.308938649217577,0.5247239211365449,0.5883472720599334
m1,0,1,Pauli,51.468663798775644,80.70299999501745,0.7049519599392182,0.3951124376759453
m1,0,1,Velst,22.722524360486656,33.86003190171971,0.6615953324720136,0.47021963730442506
m1,0,1,oi,34.88404936471562,51.99891366838485,0.691210535472523,0.4126515702808232
m1,0,1,disp,1.348760876306303,1.8656083424552052,0.22193447588957835,0.9402550696027705
m1,0,1,barrier,15.153250679278829,19.883460136011372,0.5287075699564847,0.6910187019798932
m1,0,2,strain,12.774330240715841,18.14072891703158,0.5696384290867639,0.5478322460425114
m1,0,2,Pauli,47.48773436941159,76.32963411114042,0.6504262777769262,0.4588948623421407
m1,0,2,Velst,21.467560795462056,30.953430490360343,0.6250554646355629,0.5572702501575029
m1,0,2,oi,34.09821486397154,51.08737898643614,0.675639605607898,0.43306337426105035
m1,0,2,disp,1.338396891287178,1.885358646734305,0.22022911386154706,0.9389833916490458
m1,0,2,barrier,16.283495453702418,21.870681845119304,0.5681426047743704,0.6261710651753316
m1,0,3,strain,12.797233965556334,18.04945705039382,0.5706597618370939,0.5523708038132471
m1,0,3,Pauli,48.61107446585491,77.77610122154584,0.6658123543566891,0.43819236862233835
m1,0,3,Velst,23.509652723931964,33.83992472458746,0.684513580596651,0.47084865175777535
m1,0,3,oi,31.65031186866153,49.488626131968886,0.6271355938607853,0.4679921195301402
m1,0,3,disp,1.2834455188672254,1.7592927558536529,0.21118703364430802,0.9468704254576947
m1,0,3,barrier,16.09317116619675,20.57752694200624,0.5615020565724971,0.6690711535718583
m1,0,4,strain,12.178495876158879,17.02519271150017,0.5430687267989421,0.6017331184698983
m1,0,4,Pauli,47.74163597860154,75.11779820804455,0.6539038974355589,0.4759400201390628
m1,0,4,Velst,20.510455984978158,30.569080918949343,0.5971881350529489,0.568196763163347
m1,0,4,oi,33.561561661161434,50.07728620218955,0.6650060824237285,0.45526053299914193
m1,0,4,disp,1.4193916939626074,1.9940867522828116,0.23355656085183849,0.9317428413622788
m1,0,4,barrier,14.88293653176089,20.696587799574353,0.519276119300521,0.6652305892685743
