fold,method,sum_NMAE,direct_NMAE
0,ridge,0.5502694201699792,0.5502699037384436
0,lasso,0.6192268272178445,0.556889532894624
0,enet,0.5964550442114558,0.5567737182473834
0,krr,0.5061523206813286,0.4830176195423556
0,gbm,0.7086446204579925,0.46477452766044697
0,rf,0.7000294251410629,0.47075973370813595
1,ridge,0.5231918691575839,0.5231925456754242
1,lasso,0.5444640706207309,0.5103723070965756
1,enet,0.48717370497572426,0.5096961436228046
1,krr,0.5396183988369048,0.4630007883043596
1,gbm,0.8164100033149374,0.48212907475388583
1,rf,0.6788338507620973,0.4582289751800896
2,ridge,0.5126134420737171,0.5126131178068143
2,lasso,0.5384341670091285,0.5132914841674523
2,enet,0.5246355834501956,0.5137421070733637
2,krr,0.49480319052690996,0.4703162834516439
2,gbm,0.6663004432296206,0.4452702918177367
2,rf,0.5738526518223044,0.4371006125085272
3,ridge,0.5863347259829037,0.5863348412430204
3,lasso,0.7044575005982,0.5791849680522009
3,enet,0.6799976901872609,0.5802572329181049
3,krr,0.5490599500139925,0.5354734908647136
3,gbm,0.7449926394889459,0.5216635530290938
3,rf,0.7705544518759045,0.5110968443239945
4,ridge,0.5187013960427735,0.5187013369129726
4,lasso,0.5658003520115308,0.5095832850932708
4,enet,0.6159385797471207,0.5088555155036564
4,krr,0.5318828477810892,0.5145741950689767
4,gbm,0.6623100617752682,0.4242988679823306
4,rf,0.6270004646419756,0.42183602138989246
