fold,method,channel,NMAE,RMSE,R2,slope
0,ridge,strain,0.8580425377165257,22.961246490478516,0.1379116909594944,0.26728985932720534
0,ridge,Pauli,0.8236144996187883,112.31497192382812,0.25071947253405724,0.2514408362664029
0,ridge,V_elst,0.8554070520247938,46.03268814086914,0.24641629770953954,0.24124487523303292
0,ridge,oi,0.8124110833424698,89.68550109863281,0.247734044788689,0.2206705906901912
0,ridge,disp,0.2788761892748286,1.8814805746078491,0.9244003770775714,0.9652027628133151
0,ridge,barrier_sum,0.5502694201699792,23.053855895996094,0.710783831917897,0.6923466433483115
0,ridge,barrier_direct,0.5502699037384436,23.05385971069336,0.7107837784419726,0.6923463759686896
0,lasso,strain,0.8710685283420286,23.083112716674805,0.12873640016223076,0.2508254748815568
0,lasso,Pauli,0.862180501575201,115.60631561279297,0.20616134657800977,0.17563740620240192
0,lasso,V_elst,0.9138489095775533,48.530723571777344,0.1624084223993415,0.1355584126278955
0,lasso,oi,0.8329418236032201,90.07421112060547,0.24119907069256752,0.20068871994944953
0,lasso,disp,0.2892060897818229,1.919510841369629,0.9213133069570536,0.9514336863615195
0,lasso,barrier_sum,0.6192268272178445,25.127641677856445,0.6564113034414324,0.6647859540564804
0,lasso,barrier_direct,0.556889532894624,23.174034118652344,0.707760650746385,0.6808726351074578
0,enet,strain,0.8686248971124391,22.994421005249023,0.13541877569804517,0.2540337535005904
0,enet,Pauli,0.8736109887477683,116.30142974853516,0.19658627968796072,0.16392178302734992
0,enet,V_elst,0.9228881100069077,49.00717544555664,0.14588160809763506,0.12045224111399518
0,enet,oi,0.863159946436821,91.8875503540039,0.21033969954118426,0.16098106886824512
0,enet,disp,0.2917519845813035,1.9167189598083496,0.9215420368104469,0.9433793393416791
0,enet,barrier_sum,0.5964550442114558,25.200672149658203,0.6544112236553532,0.631124463930596
0,enet,barrier_direct,0.5567737182473834,23.161699295043945,0.7080716934606004,0.6833277682721351
