channel,top1,top3,spearman,n_top,n_spearman,random_top1,random_top3,lift_top1
d1_own_dft,0.7166666666666667,0.975,0.8425803563106161,720,595,0.20716089466089466,0.6214826839826839,3.4594688724423164
d2_own_dft,0.7208333333333333,0.9680555555555556,0.7989754515328832,720,595,0.20716089466089466,0.6214826839826839,3.4795820635611667
elst_dft,0.5694444444444444,0.9291666666666667,0.6843596666621357,720,595,0.20716089466089466,0.6214826839826839,2.7488027862429254
pauli_dft,0.6597222222222222,0.9430555555555555,0.7592495256995608,720,595,0.20716089466089466,0.6214826839826839,3.1845885938180234
oi_dft,0.6555555555555556,0.9416666666666667,0.7592435514550925,720,595,0.20716089466089466,0.6214826839826839,3.164475402699173
disp_dft,0.6388888888888888,0.9583333333333334,0.7844740214386648,720,595,0.20716089466089466,0.6214826839826839,3.08402263822377
cpcm_dft,0.7263888888888889,0.9347222222222222,0.7312125411337108,720,595,0.20716089466089466,0.6214826839826839,3.5063996517196343
