family,quartile,n_target,n_have,n_deficit,n_overfill,n_final
dipolar,0,24,24,0,0,24
dipolar,1,24,24,0,0,24
dipolar,2,23,23,0,0,23
dipolar,3,23,23,0,0,23
e2,0,20,20,0,0,20
e2,1,20,20,0,0,20
e2,2,19,19,0,0,19
e2,3,19,19,0,0,19
sn2,0,20,20,0,0,20
sn2,1,20,20,0,0,20
sn2,2,19,19,0,0,19
sn2,3,19,19,0,0,19
